,losses,epsilons
289,"(0.15222597122192383, array(5.244381, dtype=float32))",0.9725605889120885
290,"(0.1687292456626892, array(5.217922, dtype=float32))",0.9724672849082493
291,"(0.16309870779514313, array(5.228543, dtype=float32))",0.9723739898556645
292,"(0.20356398820877075, array(5.1966195, dtype=float32))",0.9722807037534751
293,"(0.1506241261959076, array(5.2605247, dtype=float32))",0.9721874266008225
294,"(0.17392197251319885, array(5.284524, dtype=float32))",0.9720941583968482
295,"(0.2344130128622055, array(5.206504, dtype=float32))",0.9720008991406938
296,"(0.21155157685279846, array(5.264512, dtype=float32))",0.9719076488315006
297,"(0.22099994122982025, array(5.225955, dtype=float32))",0.9718144074684104
298,"(0.24157480895519257, array(5.219854, dtype=float32))",0.9717211750505651
299,"(0.1452241688966751, array(5.37725, dtype=float32))",0.9716279515771062
300,"(0.2090729922056198, array(5.2759385, dtype=float32))",0.9715347370471759
301,"(0.22306527197360992, array(5.319103, dtype=float32))",0.971441531459916
302,"(0.15814493596553802, array(5.3935585, dtype=float32))",0.9713483348144687
303,"(0.15341250598430634, array(5.3874345, dtype=float32))",0.9712551471099761
304,"(0.2841830253601074, array(5.241421, dtype=float32))",0.9711619683455803
305,"(0.2131405472755432, array(5.310189, dtype=float32))",0.9710687985204239
306,"(0.21646134555339813, array(5.285465, dtype=float32))",0.9709756376336491
307,"(0.16455312073230743, array(5.4457207, dtype=float32))",0.9708824856843984
308,"(0.16907429695129395, array(5.4207373, dtype=float32))",0.9707893426718145
309,"(0.2196289747953415, array(5.345386, dtype=float32))",0.9706962085950399
310,"(0.207422137260437, array(5.3920674, dtype=float32))",0.9706030834532173
311,"(0.15020360052585602, array(5.474826, dtype=float32))",0.9705099672454897
312,"(0.3973288834095001, array(5.1578736, dtype=float32))",0.9704168599709998
313,"(0.13366809487342834, array(5.48668, dtype=float32))",0.9703237616288908
314,"(0.20669199526309967, array(5.4216866, dtype=float32))",0.9702306722183055
315,"(0.12569841742515564, array(5.513301, dtype=float32))",0.9701375917383872
316,"(0.13151250779628754, array(5.5778027, dtype=float32))",0.9700445201882791
317,"(0.19463683664798737, array(5.4088, dtype=float32))",0.9699514575671244
318,"(0.22670574486255646, array(5.4623933, dtype=float32))",0.9698584038740667
319,"(0.11883732676506042, array(5.600826, dtype=float32))",0.9697653591082493
320,"(0.20457150042057037, array(5.4939623, dtype=float32))",0.9696723232688159
321,"(0.118873730301857, array(5.6070757, dtype=float32))",0.9695792963549099
322,"(0.1511136293411255, array(5.567414, dtype=float32))",0.9694862783656752
323,"(0.1290840059518814, array(5.6089373, dtype=float32))",0.9693932693002556
324,"(0.1406736969947815, array(5.5842476, dtype=float32))",0.969300269157795
325,"(0.14717261493206024, array(5.6408625, dtype=float32))",0.9692072779374371
326,"(0.18448859453201294, array(5.586162, dtype=float32))",0.9691142956383263
327,"(0.12016423791646957, array(5.646239, dtype=float32))",0.9690213222596065
328,"(0.1899452805519104, array(5.594119, dtype=float32))",0.968928357800422
329,"(0.20338179171085358, array(5.5679717, dtype=float32))",0.968835402259917
330,"(0.19407565891742706, array(5.6125965, dtype=float32))",0.9687424556372362
331,"(0.27580565214157104, array(5.524064, dtype=float32))",0.9686495179315235
332,"(0.20861299335956573, array(5.571518, dtype=float32))",0.9685565891419239
333,"(0.1765705645084381, array(5.6608534, dtype=float32))",0.9684636692675818
334,"(0.12648771703243256, array(5.7503934, dtype=float32))",0.968370758307642
335,"(0.27268877625465393, array(5.5773144, dtype=float32))",0.9682778562612492
336,"(0.1351448893547058, array(5.74111, dtype=float32))",0.9681849631275483
337,"(0.11797674000263214, array(5.747987, dtype=float32))",0.9680920789056843
338,"(0.20355862379074097, array(5.6638527, dtype=float32))",0.9679992035948022
339,"(0.27158206701278687, array(5.5938864, dtype=float32))",0.9679063371940471
340,"(0.11438578367233276, array(5.7765727, dtype=float32))",0.9678134797025642
341,"(0.11675601452589035, array(5.801685, dtype=float32))",0.9677206311194987
342,"(0.1824585348367691, array(5.7546983, dtype=float32))",0.967627791443996
343,"(0.2757105529308319, array(5.649824, dtype=float32))",0.9675349606752017
344,"(0.17560414969921112, array(5.7591524, dtype=float32))",0.9674421388122612
345,"(0.10647231340408325, array(5.84892, dtype=float32))",0.96734932585432
346,"(0.28465378284454346, array(5.677473, dtype=float32))",0.9672565218005239
347,"(0.19465982913970947, array(5.718448, dtype=float32))",0.9671637266500187
348,"(0.2550351321697235, array(5.6886315, dtype=float32))",0.9670709404019501
349,"(0.40255898237228394, array(5.5466285, dtype=float32))",0.9669781630554642
350,"(0.19734124839305878, array(5.83895, dtype=float32))",0.9668853946097069
351,"(0.19044776260852814, array(5.806588, dtype=float32))",0.9667926350638244
352,"(0.1931661069393158, array(5.804407, dtype=float32))",0.9666998844169629
353,"(0.1267160326242447, array(5.917076, dtype=float32))",0.9666071426682684
354,"(0.18577414751052856, array(5.8437195, dtype=float32))",0.9665144098168875
355,"(0.17597177624702454, array(5.869475, dtype=float32))",0.9664216858619665
356,"(0.2641732394695282, array(5.787818, dtype=float32))",0.966328970802652
357,"(0.097913958132267, array(5.969803, dtype=float32))",0.9662362646380905
358,"(0.4190954864025116, array(5.588888, dtype=float32))",0.9661435673674288
359,"(0.3200927972793579, array(5.7381573, dtype=float32))",0.9660508789898135
360,"(0.18281076848506927, array(5.9088345, dtype=float32))",0.9659581995043914
361,"(0.19242419302463531, array(5.897466, dtype=float32))",0.9658655289103095
362,"(0.10187043249607086, array(6.013089, dtype=float32))",0.965772867206715
363,"(0.24788029491901398, array(5.842566, dtype=float32))",0.9656802143927545
364,"(0.11778188496828079, array(6.0467434, dtype=float32))",0.9655875704675757
365,"(0.3406667113304138, array(5.7841315, dtype=float32))",0.9654949354303254
366,"(0.166265606880188, array(5.9736595, dtype=float32))",0.9654023092801512
367,"(0.25895968079566956, array(5.885329, dtype=float32))",0.9653096920162004
368,"(0.11128734797239304, array(6.0689797, dtype=float32))",0.9652170836376205
369,"(0.104761503636837, array(6.089671, dtype=float32))",0.965124484143559
370,"(0.2753208875656128, array(5.869279, dtype=float32))",0.9650318935331637
371,"(0.1157618910074234, array(6.1078796, dtype=float32))",0.9649393118055821
